"word/date","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"dr.","0.00017759684664149083","0.00013442766413785827","0.00014574832643395725","0.00012411597158081846","0.00014498343676500896","0.0001571194000754561","0.00014260762976619972","0.00012328605683325128","0.00010871277547763611","0.00011089094141813429","0.00010240407001880825","8.009975334800089e-05","7.281041109595727e-05","6.400196958546922e-05","6.0050289603121624e-05","N/A"
"contact","4.684148141319998e-05","4.704968244825039e-05","4.43672003653867e-05","5.063931640497393e-05","5.276498970761941e-05","6.328420280816982e-05","6.626094639630168e-05","7.399070386898916e-05","8.409544486035984e-05","9.874480514675782e-05","0.00011920077327759195","0.00012340613340417847","0.0001212536344735505","0.00011564120855539191","0.00011526894670944036","N/A"
"please","0.0002231858820275999","0.00019469606689299804","0.0002125064503482307","0.00020494029227424745","0.00022565453045173407","0.00024064969841804042","0.00023443474663045497","0.00027708374412794136","0.00027855583503844143","0.0002954465579524004","0.00030731370071055634","0.00034014263075619796","0.00036944956672990193","0.0003753843167984054","0.000392742698668692","N/A"
"million","8.266143778799996e-05","7.684781466547564e-05","7.961217261826398e-05","8.32073473477807e-05","0.00010344504061220218","0.00010207911640704787","9.194439287557613e-05","6.874651738342936e-05","6.683027003146475e-05","7.313943679088312e-05","4.993340183275883e-05","4.4704460042243155e-05","3.67747446999575e-05","3.041005353854678e-05","3.025193571467605e-05","N/A"
"i am","0.0006978629262950543","0.0006828925338203199","0.0006619835082555128","0.0007051773041335782","0.000713850970178158","0.0007648659684228801","0.0008428626933632215","0.0009611163595353231","0.0009967540645236758","0.001081728330849722","0.0011441041440257932","0.0012444275856457832","0.0013230621456455478","0.0013937438143901129","0.0014230045145788002","N/A"
"transfer","3.331506432061817e-05","4.189662198963249e-05","4.2293966703452744e-05","5.2625171950267025e-05","5.1802710260064036e-05","5.031215357354497e-05","5.9107109705727516e-05","6.598140087286147e-05","6.443462376334055e-05","6.053371698491404e-05","5.901681537753914e-05","5.9026255021451493e-05","5.041409885481384e-05","4.6181024232234814e-05","4.602869488790997e-05","N/A"
"regards","1.5530330735927264e-05","1.3666812520682256e-05","1.2232078605410352e-05","1.5886844362344763e-05","1.090583373896085e-05","1.5639199544547715e-05","1.1962153154730568e-05","1.3158140636495495e-05","1.4621703084758048e-05","1.5822804548117444e-05","1.451316354082218e-05","1.5992671060115972e-05","1.3751335716062062e-05","1.2387883678853838e-05","1.2522802593754426e-05","N/A"
"transaction","6.011740930036361e-06","1.3442766413785827e-05","4.5611140562547075e-06","3.7731255360568815e-06","4.4906374219250565e-06","6.304173459817683e-06","6.21562860000706e-06","1.897442019320727e-05","1.049127848454391e-05","1.4641018316307842e-05","1.6644467277586276e-05","1.4458193026629366e-05","1.1802856551082585e-05","1.187224588105383e-05","1.2660849236520223e-05","N/A"
"interest","0.0010643286338218542","0.0010079834349270404","0.0009103569009552009","0.0009146850641619998","0.0008472870535725025","0.0008167541653613795","0.0008984515227293224","0.000834779139655928","0.0008476457364559453","0.0008076852346512066","0.0007234253826502133","0.0006386497575371259","0.0006801536064512847","0.0007177929676009177","0.0007277424587633478","N/A"
"urgent","5.260273313781816e-06","6.945429313789344e-06","3.9391439576745205e-06","4.36888219964481e-06","7.858615488368849e-06","5.091832409852744e-06","7.0365606792532754e-06","5.434884175943791e-06","6.278245392325489e-06","5.383692833799296e-06","4.4148434547256285e-06","4.057841910775694e-06","3.7401841442709517e-06","3.609464584600052e-06","3.2145146815464117e-06","N/A"
"immediately","8.165948096632724e-05","9.432341100339721e-05","8.520990350548567e-05","8.837057176554274e-05","8.452021147694659e-05","9.529000652724422e-05","0.00010261650990577694","0.00010497907855638797","0.00011746927563009008","0.00012067350522589155","0.0001318871050440449","0.00013598885327876866","0.00014261971635160133","0.00013434251112438242","0.0001382241313064957","N/A"
"follow","0.00047292361982952704","0.00044517961440320727","0.0004697947477942349","0.0004625057564987619","0.0004278935943462875","0.0004514758070069433","0.0005083915090760492","0.00043135817564859144","0.0004460032483311226","0.00042439256680095914","0.0004093625534399039","0.0003800390596268497","0.0003651046821551201","0.00034774110022366356","0.00034000888113215757","N/A"
"died","0.00010570644468647268","9.94764714620151e-05","0.00010718618032198563","0.00010266873169165303","0.00010472807987560935","0.00011044426965180595","0.00010414109805294848","0.00010097442705832413","9.698236961302796e-05","0.00010078010365709659","0.0001009324555338997","9.837709170241915e-05","8.828626285458737e-05","7.520765928887913e-05","7.219839416651174e-05","N/A"
"sincere","2.8305280212254534e-05","2.8453855575846664e-05","2.5086127309400892e-05","2.0057141007460263e-05","1.9887108582810963e-05","2.5701630259256707e-05","2.368975428681936e-05","2.0213955180703224e-05","2.1395599429109232e-05","1.7464174314519668e-05","1.6441485969323028e-05","1.3912600836945238e-05","1.4378432458814078e-05","1.2400460210507496e-05","1.3804664276579683e-05","N/A"
"confirm","2.179256087138181e-05","1.9267965193093015e-05","2.5293450675594286e-05","2.3830266543517144e-05","2.2132427293773492e-05","2.509545973427424e-05","2.6152550524558008e-05","2.974883969990286e-05","2.6765151409387614e-05","2.8756798307366972e-05","2.6945768671946075e-05","2.9393779219232343e-05","2.6853178377130963e-05","2.3203700901000336e-05","2.1988858097694782e-05","N/A"
"bank account","2.2544028487636355e-06","1.568322748275013e-06","2.2805570281273537e-06","2.978783317939643e-06","9.622794475553692e-07","2.3034479949333842e-06","3.283728316984862e-06","1.5255815230719415e-06","1.5695613480813723e-06","1.9039889290265804e-06","1.928322428500849e-06","1.5685775453418651e-06","1.5677418568800395e-06","1.3205358236341654e-06","1.7354435090557315e-06","N/A"
"manager","4.859490585112725e-05","5.870008000686477e-05","4.519649383016028e-05","3.812842646962743e-05","3.560433955954866e-05","3.806750896889909e-05","4.4330332279295635e-05","4.3860468788318314e-05","3.824773179798292e-05","3.6963647139378094e-05","3.2274028013856313e-05","2.6324823152259128e-05","1.832018341325532e-05","1.5293062490849e-05","1.4396292745575955e-05","N/A"
"thanks","0.00011422307767069086","9.387531878960435e-05","9.661268864612244e-05","9.333521062877549e-05","0.00010520921959938703","0.00010571613955694269","0.00010953579457370932","0.00014674187275048238","0.0001503474554477946","0.00016282388082710067","0.00016482082230975678","0.00018301208012716936","0.0002159452426291049","0.00025730326110220373","0.0002629985754178095","N/A"
"honest","0.00015380037212676357","0.00016422579635508351","0.000167102633151877","0.00016502459581385623","0.00018203119549589067","0.000179184007184818","0.00017263028866434702","0.00015017443117739423","0.00015043006393979888","0.0001650561437094077","0.00016334920782484823","0.00017595348117313095","0.00018947280156007335","0.0002170960894054568","0.00022712616924766888","N/A"
"thank you","9.142855997763633e-05","7.169475420685774e-05","6.40629201537593e-05","7.744836626643073e-05","7.954843433124385e-05","7.419527225785427e-05","7.435299117744295e-05","9.859070592852422e-05","0.00010243453008531061","0.00011883517108752106","0.00012554393916081844","0.00014717349316729325","0.00017260837844249236","0.00023567162665791072","0.00027804565947928134","N/A"
