"word/date","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"dr.","6.716892631896333e-05","8.271828319460164e-05","5.1199312680446357e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"contact","0.0008030919315868959","0.0008086580065851415","0.0010930845129987978","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"please","0.0037062869179178707","0.0030315472688302305","0.003022840721019524","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"million","0.000519910460715877","0.0007969864687971911","0.000770487217654522","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"i am","0.0010332699305178083","0.0006664448076919623","0.0005477910202233122","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"transfer","0.0002001455340916545","0.00018809132050581453","0.0001598417566609057","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"regards","0.0004896653013664261","0.0002908607070797154","0.0002422601624391852","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"transaction","0.0008219792040920382","0.0006093440535909132","0.0005045005444609836","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"interest","0.0007220553232033461","0.0006748243732833114","0.0006322906988747806","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"urgent","2.5736035733358335e-05","2.391168895531357e-05","1.4568910112322135e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"immediately","0.00018227919523543877","0.00018839059070550556","0.00019980219582613212","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"follow","0.0011567603631358896","0.001002824512144684","0.0009403190841067343","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"died","1.684540520728909e-05","2.3462783655777023e-05","2.455901990362874e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"sincere","9.439382362367297e-05","6.311608511483895e-05","5.369684012827301e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"confirm","0.0005670435641746555","0.0005032527678004419","0.00032134853162036253","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"bank account","3.5732677712431406e-06","7.810952211935974e-06","7.07632776884218e-06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"manager","0.00028092690906297266","0.0002702709173409723","0.000329673623113118","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"thanks","0.002290464641366853","0.001685399983599993","0.0015035115235916443","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"honest","2.3311318317157634e-05","1.7148182442296218e-05","2.622403820217984e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"thank you","0.000554154276856957","0.00047039289987436635","0.0004632913415718439","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"complete","0.00046346133771064306","0.0004490549346363957","0.0006268793894044896","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"crash","7.657002366949587e-06","1.4783947864737052e-05","2.6640292776817617e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"link","0.00034677712941873906","0.0004381614993676421","0.0005069980719088103","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"dear sir","4.168812399783664e-06","2.9029209370030246e-06","4.1625457463777526e-07","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"president","0.0004443613706953077","0.0005864498833145492","0.0005636086940595477","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"important","0.0002539997840725333","0.000247586236204392","0.00024683896276020076","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"help me","3.062800946779835e-05","2.199635967729096e-05","1.2903891813771033e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"reliable","3.101085958614583e-05","4.851169936991652e-05","8.491593322610616e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"as soon as possible","9.02250112238893e-05","6.787448128992639e-05","8.283466035291727e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"i hope","0.00019427516561032647","0.0001207854525953011","0.0001248763723913326","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"relationship","0.00014480242253942443","0.00010037522497637261","8.366716950219282e-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"love","0.0002899876951971963","0.0002075139564657626","0.00021853365168483202","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"plane crash","2.977723142702617e-07","9.875916589804105e-07","4.1625457463777526e-07","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
