"word/date","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"dr.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.00023741690408357076","9.361542782250516e-05","0.0","0.0","0.0","0.0","0.0"
"contact","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0034924330616996507","0.0033238366571699905","0.0023403856955626287","0.0011801730920535012","0.00922336586017912","0.001589825119236884","0.0016806722689075631","0.018518518518518517"
"please","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0034924330616996507","0.0023741690408357074","0.0011233851338700617","0.0023603461841070024","0.0022724234727977545","0.001589825119236884","0.0033613445378151263","0.0"
"million","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.00023741690408357076","0.0","0.0","0.0001336719689881032","0.0","0.0","0.0"
"i am","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0034924330616996507","0.0030864197530864196","0.0015914622729825876","0.0027537372147915028","0.0012030477208929287","0.0","0.0","0.018518518518518517"
"transfer","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0008425388504025463","0.0015735641227380016","0.0004010159069643096","0.0","0.0","0.0"
"regards","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.009259259259259259","0.0011641443538998836","0.000949667616334283","0.0001872308556450103","0.0007867820613690008","0.0001336719689881032","0.001589825119236884","0.0016806722689075631","0.0"
"transaction","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.00023741690408357076","0.0002808462834675154","0.0","0.0002673439379762064","0.0","0.0","0.0"
"interest","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.006984866123399301","0.0026115859449192783","0.001310615989515072","0.001966955153422502","0.0022724234727977545","0.006359300476947536","0.0","0.0"
"urgent","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0004748338081671415","0.0","0.0003933910306845004","0.0","0.0","0.0","0.0"
"immediately","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.002328288707799767","0.0007122507122507123","0.0003744617112900206","0.0","0.0002673439379762064","0.0","0.0016806722689075631","0.0"
"follow","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0008425388504025463","0.001966955153422502","0.0009357037829167224","0.001589825119236884","0.0","0.0"
"died","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.002328288707799767","0.000949667616334283","0.0","0.0","0.0","0.0","0.0","0.0"
"sincere","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.00023741690408357076","9.361542782250516e-05","0.0","0.0","0.0","0.0","0.0"
"confirm","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0007489234225800412","0.0023603461841070024","0.0005346878759524128","0.001589825119236884","0.0","0.0"
"bank account","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","9.361542782250516e-05","0.0","0.0","0.0","0.0","0.0"
"manager","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0011641443538998836","0.00023741690408357076","0.0005616925669350309","0.0007867820613690008","0.0002673439379762064","0.0","0.0","0.0"
"thanks","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.004656577415599534","0.001899335232668566","0.0010297697060475566","0.001966955153422502","0.002005079534821548","0.0047694753577106515","0.0","0.0"
"honest","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"thank you","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0004748338081671415","0.0001872308556450103","0.0003933910306845004","0.0","0.0","0.0","0.0"
"complete","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0004748338081671415","0.0005616925669350309","0.0","0.0005346878759524128","0.0","0.0","0.0"
"crash","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"link","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","9.361542782250516e-05","0.0","0.0001336719689881032","0.0","0.0","0.0"
"dear sir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"president","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.00023741690408357076","0.0","0.0","0.0","0.0","0.0","0.0"
"important","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","9.361542782250516e-05","0.0","0.0","0.0","0.0","0.0"
"help me","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","9.361542782250516e-05","0.0","0.0","0.0","0.0","0.0"
"reliable","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0","0.0003933910306845004","0.0001336719689881032","0.0","0.0","0.0"
"as soon as possible","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0004748338081671415","0.0002808462834675154","0.0003933910306845004","0.0001336719689881032","0.001589825119236884","0.0","0.0"
"i hope","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.009259259259259259","0.0011641443538998836","0.0","9.361542782250516e-05","0.0003933910306845004","0.0","0.0","0.0","0.0"
"relationship","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.00023741690408357076","0.0002808462834675154","0.0","0.0002673439379762064","0.0","0.0","0.0"
"love","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.005820721769499418","0.0023741690408357074","0.002527616551207639","0.004327301337529505","0.005480550728512231","0.001589825119236884","0.005042016806722689","0.0"
"plane crash","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"protect you","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"yours sincerely","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"cooperation","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"doctor","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.004656577415599534","0.0007122507122507123","9.361542782250516e-05","0.0007867820613690008","0.0","0.001589825119236884","0.0","0.0"
"verification","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
